lemma	homonym	doc
Kaivovesi	PROPN	overlaps more common *Kaivovesi* (well water)
Kajo	PROPN	overlaps more common *Kajo* (haze)
Kakkara	PROPN	overlaps more common *Kakkara* (FIXME)
Kakkonen	PROPN	overlaps more common *Kakkonen* (two)
Kakkula	PROPN	overlaps more common *Kakkula* (glasses)
Kako	PROPN	overlaps more common *Kako* (FIXME)
Kaksinainen	PROPN	overlaps more common *Kaksinainen* (dual)
Kaksinkertainen	PROPN	overlaps more common *Kaksinkertainen* (double)
Kaksipäinen	PROPN	overlaps more common *Kaksipäinen* (twi-headed)
Kaksonen	PROPN	overlaps more common *Kaksonen* (twin)
Kala	PROPN	overlaps more common *Kala* (fish)
Kalakukko	PROPN	overlaps more common *Kalakukko* (fish bread)
Kalalammikko	PROPN	overlaps more common *Kalalammikko* (fish pond)
Kalamaja	PROPN	overlaps more common *Kalamaja* (fish hut)
Kalasatama	PROPN	overlaps more common *Kalasatama* (fish docks)
Kalastajakylä	PROPN	overlaps more common *Kalastajakylä* (fisher village)
Kalasääski	PROPN	overlaps more common *Kalasääski* (fish mosquito)
Kalatie	PROPN	overlaps more common *Kalatie* (fish road)
Kalavesi	PROPN	overlaps more common *Kalavesi* (fish water)
Kalikka	PROPN	overlaps more common *Kalikka* (stick)
Kalina	PROPN	overlaps more common *Kalina* (clonk)
Kalja	PROPN	overlaps more common *Kalja* (beer)
Kalju	PROPN	overlaps more common *Kalju* (bald)
Kalke	PROPN	overlaps more common *Kalke* (clink)
Kalkki	PROPN	overlaps more common *Kalkki* (calcium)
Kalkkikivi	PROPN	overlaps more common *Kalkkikivi* (calcium stone)
Kalkkimaa	PROPN	overlaps more common *Kalkkimaa* (calcium lands)
Kalkkinen	PROPN	overlaps more common *Kalkkinen* (calciumy)
Kallio	PROPN	overlaps more common *Kallio* (baserock)
Kallioinen	PROPN	overlaps more common *Kallioinen* (rocky)
Kallioluoto	PROPN	overlaps more common *Kallioluoto* (rocky island)
Kallionhalkeama	PROPN	overlaps more common *Kallionhalkeama* (base rock crack)
Kallioperä	PROPN	overlaps more common *Kallioperä* (base rock end)
Kalliopohja	PROPN	overlaps more common *Kalliopohja* (base rock bottom)
Kallioranta	PROPN	overlaps more common *Kallioranta* (base rock beach)
Kalliosaari	PROPN	overlaps more common *Kalliosaari* (base rock island)
Kallis	PROPN	overlaps more common *Kallis* (expensive)
Kallo	PROPN	overlaps more common *Kallo* (skull)
Kalma	PROPN	overlaps more common *Kalma* (death)
Kalmari	PROPN	overlaps more common *Kalmari* (squid)
Kalmisto	PROPN	overlaps more common *Kalmisto* (grave)
Kalmo	PROPN	overlaps more common *Kalmo* (dead)
Kalpa	PROPN	overlaps more common *Kalpa* (sword)
Kalske	PROPN	overlaps more common *Kalske* (clink)
Kalteri	PROPN	overlaps more common *Kalteri* (bar)
Kalteva	PROPN	overlaps more common *Kalteva* (slope)
Kaltio	PROPN	overlaps more common *Kaltio* (FIXME)
Kaltto	PROPN	overlaps more common *Kaltto* (FIXME)
Kalusto	PROPN	overlaps more common *Kalusto* (equipment)
Kalvo	PROPN	overlaps more common *Kalvo* (foil)
Kama	PROPN	overlaps more common *Kama* (stuff)
Kamari	PROPN	overlaps more common *Kamari* (chamber)
Kammari	PROPN	overlaps more common *Kammari* (chamber)
Kammi	PROPN	overlaps more common *Kammi* (FIXME)
Kammio	PROPN	overlaps more common *Kammio* (chamber)
Kampela	PROPN	overlaps more common *Kampela* (cray)
Kamppi	PROPN	overlaps more common *Kamppi* (tackle)
Kampsu	PROPN	overlaps more common *Kampsu* (FIXME)
Kampura	PROPN	overlaps more common *Kampura* (FIXME)
Kamu	PROPN	overlaps more common *Kamu* (bud)
Kanaali	PROPN	overlaps more common *Kanaali* (canal)
Kanala	PROPN	overlaps more common *Kanala* (hen house)
Kananen	PROPN	overlaps more common *Kananen* (FIXME)
Kanapata	PROPN	overlaps more common *Kanapata* (chicken stew)
Kanava	PROPN	overlaps more common *Kanava* (channel)
Kanavisto	PROPN	overlaps more common *Kanavisto* (FIXME)
Kandi	PROPN	overlaps more common *Kandi* (candidate, bachelor)
Kaneli	PROPN	overlaps more common *Kaneli* (FIXME)
Kanervikko	PROPN	overlaps more common *Kanervikko* (FIXME)
Kanervisto	PROPN	overlaps more common *Kanervisto* (FIXME)
Kangas	PROPN	overlaps more common *Kangas* (fabric)
Kangaskorpi	PROPN	overlaps more common *Kangaskorpi* (grass forest)
Kangasmaa	PROPN	overlaps more common *Kangasmaa* (grasslands)
Kangasmetsä	PROPN	overlaps more common *Kangasmetsä* (grass forest)
Kani	PROPN	overlaps more common *Kani* (bunny)
Kankainen	PROPN	overlaps more common *Kankainen* (FIXME)
Kankare	PROPN	overlaps more common *Kankare* (FIXME)
Kankuri	PROPN	overlaps more common *Kankuri* (clothemaker)
Kannas	PROPN	overlaps more common *Kannas* (isthmus)
Kannel	PROPN	overlaps more common *Kannel* (kantele)
Kannike	PROPN	overlaps more common *Kannike* (foothold)
Kannikka	PROPN	overlaps more common *Kannikka* (bread)
Kannokko	PROPN	overlaps more common *Kannokko* (FIXME)
Kannonpää	PROPN	overlaps more common *Kannonpää* (FIXME)
Kannus	PROPN	overlaps more common *Kannus* (FIXME)
Kannustin	PROPN	overlaps more common *Kannustin* (FIXME)
Kansa	PROPN	overlaps more common *Kansa* (people)
Kansanpuolue	PROPN	overlaps more common *Kansanpuolue* (people's party)
Kansi	PROPN	overlaps more common *Kansi* (cover)
Kanta	PROPN	overlaps more common *Kanta* (base)
Kantele	PROPN	overlaps more common *Kantele* (kantele)
Kanto	PROPN	overlaps more common *Kanto* (stump)
Kantti	PROPN	overlaps more common *Kantti* (corner)
Kanttori	PROPN	overlaps more common *Kanttori* (organist)
Kanttura	PROPN	overlaps more common *Kanttura* (cow)
Kanuuna	PROPN	overlaps more common *Kanuuna* (cannon)
Kapakka	PROPN	overlaps more common *Kapakka* (pub)
Kapea	PROPN	overlaps more common *Kapea* (thin)
Kapeikko	PROPN	overlaps more common *Kapeikko* (narrow alleyway)
Kapiainen	PROPN	overlaps more common *Kapiainen* (cap’n)
Kapiteeli	PROPN	overlaps more common *Kapiteeli* (capital)
Kappa	PROPN	overlaps more common *Kappa* (kappa)
Kappalainen	PROPN	overlaps more common *Kappalainen* (priest)
Kappeli	PROPN	overlaps more common *Kappeli* (chapel)
Kapula	PROPN	overlaps more common *Kapula* (stick)
Kapulasilta	PROPN	overlaps more common *Kapulasilta* (stick bridge)
Karahka	PROPN	overlaps more common *Karahka* (stick)
Karate	PROPN	overlaps more common *Karate* (karate)
Karavaani	PROPN	overlaps more common *Karavaani* (caravan)
Karhe	PROPN	overlaps more common *Karhe* (FIXME)
Karhiainen	PROPN	overlaps more common *Karhiainen* (FIXME)
Karhu	PROPN	overlaps more common *Karhu* (bear)
Karhunpesä	PROPN	overlaps more common *Karhunpesä* (bear’s nest)
Karies	PROPN	overlaps more common *Karies* (karies)
Karikko	PROPN	overlaps more common *Karikko* (rocks)
Karinen	PROPN	overlaps more common *Karinen* (rocky)
Karista	PROPN	overlaps more common *Karista* (flake)
Kariste	PROPN	overlaps more common *Kariste* (FIXME)
Karjamaja	PROPN	overlaps more common *Karjamaja* (cow house)
Karjola	PROPN	overlaps more common *Karjola* (FIXME)
Karju	PROPN	overlaps more common *Karju* (male pig)
Karkea	PROPN	overlaps more common *Karkea* (scruffy)
Karkeinen	PROPN	overlaps more common *Karkeinen* (FIXME)
Karkkulainen	PROPN	overlaps more common *Karkkulainen* (FIXME)
Karkulainen	PROPN	overlaps more common *Karkulainen* (escapee)
Karma	PROPN	overlaps more common *Karma* (karma)
Karmi	PROPN	overlaps more common *Karmi* (FIXME)
Karpalo	PROPN	overlaps more common *Karpalo* (cranberry)
Karpalosuo	PROPN	overlaps more common *Karpalosuo* (cranberryswamp)
Karppi	PROPN	overlaps more common *Karppi* (carp)
Karsi	PROPN	overlaps more common *Karsi* (FIXME)
Karsina	PROPN	overlaps more common *Karsina* (FIXME)
Karta	PROPN	overlaps forms of very common *kartta* “map“ and *karttaa* "avoid".
Karta	PROPN	overlaps forms of very common *kartta* “map” and *karttaa* "avoid".
Kartano	PROPN	overlaps more common *Kartano* (mansion)
Kartelli	PROPN	overlaps more common *Kartelli* (cartel)
Kartio	PROPN	overlaps more common *Kartio* (cone)
Karttu	PROPN	overlaps more common *Karttu* (brush)
Karukko	PROPN	overlaps more common *Karukko* (FIXME)
Karuselli	PROPN	overlaps more common *Karuselli* (carousel)
Karva	PROPN	overlaps more common *Karva* (hair)
Karviainen	PROPN	overlaps more common *Karviainen* (huckleberry)
Kasa	PROPN	overlaps more common *Kasa* (pile)
Kasakka	PROPN	overlaps more common *Kasakka* (kazakh)
Kasakki	PROPN	overlaps more common *Kasakki* (kozakh)
Kasari	PROPN	overlaps more common *Kasari* (pan)
Kasarmi	PROPN	overlaps more common *Kasarmi* (military)
Kaseva	PROPN	overlaps more common *Kaseva* (FIXME)
Kasi	PROPN	overlaps more common *Kasi* (eight)
Kaski	PROPN	overlaps more common *Kaski* (FIXME)
Kaskimaa	PROPN	overlaps more common *Kaskimaa* (FIXME)
Kassa	PROPN	overlaps more common *Kassa* (cash register)
Kassapää	PROPN	overlaps more common *Kassapää* (FIXME)
Kassara	PROPN	overlaps more common *Kassara* (saw)
Kassi	PROPN	overlaps more common *Kassi* (bag)
Kaste	PROPN	overlaps more common *Kaste* (baptism)
Kastehelmi	PROPN	overlaps more common *Kastehelmi* (baptiosm pearl)
Kasti	PROPN	overlaps more common *Kasti* (caste)
Kasvi	PROPN	overlaps more common *Kasvi* (plant)
Kataja	PROPN	overlaps more common *Kataja* (pine)
Katajainen	PROPN	overlaps more common *Katajainen* (FIXME)
Katajikko	PROPN	overlaps more common *Katajikko* (FIXME)
Katajisto	PROPN	overlaps more common *Katajisto* (FIXME)
Katala	PROPN	overlaps more common *Katala* (evil)
Katara	PROPN	overlaps more common *Katara* (FIXME)
Kate	PROPN	overlaps more common *Kate* (profit)
Katharsis	PROPN	overlaps more common *Katharsis* (catharsis)
Kati	PROPN	overlaps more common *Kati* (FIXME)
Katinkulta	PROPN	overlaps more common *Katinkulta* (fool’s gold)
Katiska	PROPN	overlaps more common *Katiska* (fish trap)
Katkelma	PROPN	overlaps more common *Katkelma* (FIXME)
Katkera	PROPN	overlaps more common *Katkera* (bitter)
Katko	PROPN	overlaps more common *Katko* (FIXME)
Katku	PROPN	overlaps more common *Katku* (smell)
Katoton	PROPN	overlaps more common *Katoton* (roofless)
Katsomo	PROPN	overlaps more common *Katsomo* (viewers)
Katti	PROPN	overlaps more common *Katti* (cat)
Kattila	PROPN	overlaps more common *Kattila* (pan)
Kattilakivi	PROPN	overlaps more common *Kattilakivi* (pot stone)
Kattilalaakso	PROPN	overlaps more common *Kattilalaakso* (pot valley)
Katto	PROPN	overlaps more common *Katto* (roof)
Katuoja	PROPN	overlaps more common *Katuoja* (ditch)
Katve	PROPN	overlaps more common *Katve* (shade)
Kauha	PROPN	overlaps very common *kauha* “ladle”.
Kaukainen	PROPN	overlaps more common *Kaukainen* (distant)
Kaukalo	PROPN	overlaps more common *Kaukalo* (troff)
Kaukomaa	PROPN	overlaps more common *Kaukomaa* (faraway lands)
Kaula	PROPN	overlaps more common *Kaula* (neck)
Kaulin	PROPN	overlaps more common *Kaulin* (rolling pin)
Kauno	PROPN	overlaps more common *Kauno* (cursive)
Kauppala	PROPN	overlaps more common *Kauppala* (village)
Kaura	PROPN	overlaps more common *Kaura* (crop)
Kaurapelto	PROPN	overlaps more common *Kaurapelto* (oatfield)
Kauris	PROPN	overlaps more common *Kauris* (capricorn)
Kautsu	PROPN	overlaps more common *Kautsu* (rubber)
Kautta	PROPN	overlaps more common *Kautta* (via)
Kavala	PROPN	overlaps more common *Kavala* (evil)
Kavi	PROPN	overlaps more common *Kavi* (FIXME)
Kavio	PROPN	overlaps more common *Kavio* (hoof)
Keho	PROPN	overlaps more common *Keho* (body)
Kehä	PROPN	overlaps more common *Kehä* (circle)
Keidassuo	PROPN	overlaps more common *Keidassuo* (FIXME)
Keihäs	PROPN	overlaps more common *Keihäs* (spear)
Keiju	PROPN	overlaps more common *Keiju* (fairy)
Keikka	PROPN	overlaps more common *Keikka* (gig)
Keila	PROPN	overlaps more common *Keila* (pin)
Keino	PROPN	overlaps more common *Keino* (method)
Keinopää	PROPN	overlaps more common *Keinopää* (method head)
Keinu	PROPN	overlaps more common *Keinu* (swing)
Keisari	PROPN	overlaps more common *Keisari* (caesar)
Keittola	PROPN	overlaps more common *Keittola* (FIXME)
Kekkuli	PROPN	overlaps more common *Kekkuli* (FIXME)
Keko	PROPN	overlaps more common *Keko* (pile)
Kekäle	PROPN	overlaps more common *Kekäle* (ember)
Kela	PROPN	overlaps more common *Kela* (roll)
Kelju	PROPN	overlaps more common *Kelju* (nasty)
Kelkka	PROPN	overlaps more common *Kelkka* (sled)
Kelkkamäki	PROPN	overlaps more common *Kelkkamäki* (sledhill)
Kellari	PROPN	overlaps more common *Kellari* (cellar)
Kello	PROPN	overlaps very common *kello* “clock“.
Kellonsoittaja	PROPN	overlaps more common *Kellonsoittaja* (clock plaher)
Kellotapuli	PROPN	overlaps more common *Kellotapuli* (clock tower)
Kellukka	PROPN	overlaps more common *Kellukka* (FIXME)
Kelo	PROPN	overlaps more common *Kelo* (hollow dead tree trunk)
Kelohonka	PROPN	overlaps more common *Kelohonka* (hollow dead tree trunk)
Kelokko	PROPN	overlaps more common *Kelokko* (FIXME)
Kelpo	PROPN	overlaps more common *Kelpo* (passable)
Keltiäinen	PROPN	overlaps more common *Keltiäinen* (tit)
Keltti	PROPN	overlaps more common *Keltti* (celtic)
Keltto	PROPN	overlaps more common *Keltto* (FIXME)
Kelvoton	PROPN	overlaps more common *Kelvoton* (useless)
Kemianteollisuus	PROPN	overlaps more common *Kemianteollisuus* (chemistry industry)
Kemiläinen	PROPN	overlaps more common *Kemiläinen* (FIXME)
Ken	PROPN	overlaps more common *Ken* (who)
Kenkku	PROPN	overlaps more common *Kenkku* (nasty)
Kenkä	PROPN	overlaps more common *Kenkä* (shoe)
Kenno	PROPN	overlaps more common *Kenno* (hexagon)
Kenraali	PROPN	overlaps more common *Kenraali* (general)
Kenttä	PROPN	overlaps more common *Kenttä* (field)
Keppi	PROPN	overlaps more common *Keppi* (stick)
Kepponen	PROPN	overlaps more common *Kepponen* (trick)
Kepu	PROPN	overlaps more common *Kepu* (agrarian party)
Kepuli	PROPN	overlaps more common *Kepuli* (trickster)
Kera	PROPN	overlaps more common *Kera* (with)
Keritsin	PROPN	overlaps more common *Keritsin* (FIXME)
Keritty	PROPN	overlaps more common *Keritty* (FIXME)
Kerma	PROPN	overlaps more common *Kerma* (creme)
kerrassaan	PROPN	usually seen as adverb (indeed), but can be analysed as a form of *kerta* (one time)
Kerto	PROPN	overlaps more common *Kerto* (multiple)
Kesakko	PROPN	overlaps more common *Kesakko* (FIXME)
Keskimatka	PROPN	overlaps more common *Keskimatka* (midlength journey)
Keskimmäinen	PROPN	overlaps more common *Keskimmäinen* (middlemost)
Keskipaikka	PROPN	overlaps more common *Keskipaikka* (middle seat)
Keskisuomalainen	PROPN	overlaps more common *Keskisuomalainen* (mid-Finnish)
Keskitie	PROPN	overlaps more common *Keskitie* (middle of the road)
Keskiväli	PROPN	overlaps more common *Keskiväli* (mioddle length)
Keskiö	PROPN	overlaps more common *Keskiö* (center)
Kessu	PROPN	overlaps more common *Kessu* (sargeant)
Kesti	PROPN	overlaps more common *Kesti* (party)
Kestikievari	PROPN	overlaps more common *Kestikievari* (partytavern)
Kesä	PROPN	overlaps more common *Kesä* (summer)
Kesäkoti	PROPN	overlaps more common *Kesäkoti* (summerhome)
Ketale	PROPN	overlaps more common *Ketale* (bastard)
Keto	PROPN	overlaps more common *Keto* (grass)
Ketto	PROPN	overlaps more common *Ketto* (FIXME)
Kettu	PROPN	overlaps more common *Kettu* (fox)
Ketunhäntä	PROPN	overlaps more common *Ketunhäntä* (foxtail)
Ketunluola	PROPN	overlaps more common *Ketunluola* (foxcave)
Ketunpesä	PROPN	overlaps more common *Ketunpesä* (foxnest)
Keula	PROPN	overlaps more common *Keula* (front)
Keulankärki	PROPN	overlaps more common *Keulankärki* (front tip)
Kevät	PROPN	overlaps more common *Kevät* (spring)
KHO	PROPN	Korkein Hovi-Oikeus
Kide	PROPN	overlaps more common *Kide* (crystal)
Kiekko	PROPN	overlaps more common *Kiekko* (puck)
Kieli	PROPN	overlaps more common *Kieli* (language)
Kielo	PROPN	overlaps more common *Kielo* (flower)
Kieltola	PROPN	overlaps more common *Kieltola* (FIXME)
Kiemura	PROPN	overlaps more common *Kiemura* (squiggle)
Kiero	PROPN	overlaps more common *Kiero* (cunning)
Kierros	PROPN	overlaps more common *Kierros* (cycle)
Kievari	PROPN	overlaps more common *Kievari* (tavern)
Kihisevä	PROPN	overlaps more common *Kihisevä* (hissing)
Kiho	PROPN	overlaps more common *Kiho* (big shot)
Kihti	PROPN	overlaps more common *Kihti* (cast)
Kiikari	PROPN	overlaps more common *Kiikari* (binocular)
Kiikku	PROPN	overlaps more common *Kiikku* (swing)
Kiila	PROPN	overlaps more common *Kiila* (ledge)
Kiille	PROPN	overlaps more common *Kiille* (FIXME)
Kiilto	PROPN	overlaps more common *Kiilto* (shine)
Kiilu	PROPN	overlaps more common *Kiilu* (FIXME)
Kiiluva	PROPN	overlaps more common *Kiiluva* (shining)
Kiima	PROPN	overlaps more common *Kiima* (lust)
Kiipeli	PROPN	overlaps more common *Kiipeli* (trouble)
Kiire	PROPN	overlaps more common *Kiire* (hurry)
Kiiri	PROPN	overlaps more common *Kiiri* (FIXME)
Kiista	PROPN	overlaps more common *Kiista* (quarrel)
Kikka	PROPN	overlaps more common *Kikka* (trick)
Kili	PROPN	overlaps more common *Kili* (baby goat)
Kilisevä	PROPN	overlaps more common *Kilisevä* (clinging)
Kilju	PROPN	overlaps more common *Kilju* (moonshine)
Kiljuva	PROPN	overlaps more common *Kiljuva* (screaming)
Killinki	PROPN	overlaps more common *Killinki* (coin)
Kilo	PROPN	overlaps more common *Kilo* (kilogram)
Kilpi	PROPN	overlaps more common *Kilpi* (shield)
Kilsa	PROPN	overlaps more common *Kilsa* (kilometre)
Kilta	PROPN	overlaps more common *Kilta* (guild)
Kiltti	PROPN	overlaps more common *Kiltti* (nice)
Kimalainen	PROPN	overlaps more common *Kimalainen* (bumblebee)
Kimppa	PROPN	overlaps more common *Kimppa* (group)
Kimpsu	PROPN	overlaps more common *Kimpsu* (stuff)
Kina	PROPN	overlaps more common *Kina* (quarrel)
Kinkku	PROPN	overlaps more common *Kinkku* (ham)
Kino	PROPN	overlaps more common *Kino* (movies)
Kinos	PROPN	overlaps more common *Kinos* (snowpile)
Kinttu	PROPN	overlaps more common *Kinttu* (leg)
Kinttupolku	PROPN	overlaps more common *Kinttupolku* (footpath)
Kipakka	PROPN	overlaps more common *Kipakka* (FIXME)
Kiperä	PROPN	overlaps more common *Kiperä* (tough)
Kipinä	PROPN	overlaps more common *Kipinä* (spark)
Kippari	PROPN	overlaps more common *Kippari* (skipper)
Kippo	PROPN	overlaps more common *Kippo* (cup)
Kiri	PROPN	overlaps more common *Kiri* (FIXME)
Kiristäjä	PROPN	overlaps more common *Kiristäjä* (blackmailer)
Kirjanen	PROPN	overlaps more common *Kirjanen* (booklet)
Kirjava	PROPN	overlaps more common *Kirjava* (colourful)
Kirkasvetinen	PROPN	overlaps more common *Kirkasvetinen* (clearwater)
Kirkko	PROPN	overlaps more common *Kirkko* (church)
Kirkkoherra	PROPN	overlaps more common *Kirkkoherra* (churchperson)
Kirkkomaa	PROPN	overlaps more common *Kirkkomaa* (church grounds)
Kirkonkylä	PROPN	overlaps more common *Kirkonkylä* (church town)
Kirnu	PROPN	overlaps more common *Kirnu* (jug)
Kirnunmäntä	PROPN	overlaps more common *Kirnunmäntä* (jug stick)
Kirnupiimä	PROPN	overlaps more common *Kirnupiimä* (jug milk)
Kirpakka	PROPN	overlaps more common *Kirpakka* (sour)
Kirppu	PROPN	overlaps more common *Kirppu* (flea)
Kirves	PROPN	overlaps more common *Kirves* (ax)
Kirvesmies	PROPN	overlaps more common *Kirvesmies* (axman)
Kisko	PROPN	overlaps more common *Kisko* (rail))
Kissa	PROPN	overlaps more common *Kissa* (cat)
Kissanhäntä	PROPN	overlaps more common *Kissanhäntä* (cattail)
Kita	PROPN	overlaps more common *Kita* (mouth)
Kitka	PROPN	overlaps more common *Kitka* (friction)
Kitsi	PROPN	overlaps more common *Kitsi* (FIXME)
Kitti	PROPN	overlaps more common *Kitti* (speckle)
Kiukku	PROPN	overlaps more common *Kiukku* (anger)
Kiulu	PROPN	overlaps more common *Kiulu* (FIXME)
Kiuru	PROPN	overlaps more common *Kiuru* (FIXME)
Kiusa	PROPN	overlaps more common *Kiusa* (FIXME)
Kiva	PROPN	overlaps very common *kiva* “nice“.
Kiva	PROPN	overlaps very common *kiva* “nice”.
Kiva	PROPN	overlaps more common *Kiva* (nice)
Kivi	PROPN	overlaps more common *Kivi* (stone)
Kiviaita	PROPN	overlaps more common *Kiviaita* (stonefence)
Kivikirkko	PROPN	overlaps more common *Kivikirkko* (stonechurch)
Kivikko	PROPN	overlaps more common *Kivikko* (stones)
Kivikkoranta	PROPN	overlaps more common *Kivikkoranta* (stonegeach)
Kivikylä	PROPN	overlaps more common *Kivikylä* (stonetown)
Kivikäs	PROPN	overlaps more common *Kivikäs* (stony)
Kivilouhimo	PROPN	overlaps more common *Kivilouhimo* (stonequarry)
Kivimuuri	PROPN	overlaps more common *Kivimuuri* (stonewall)
Kivipelto	PROPN	overlaps more common *Kivipelto* (stonefield)
Kivipyykki	PROPN	overlaps more common *Kivipyykki* (stoneboundary)
Kivirikko	PROPN	overlaps more common *Kivirikko* (stonebreak)
Kivisilta	PROPN	overlaps more common *Kivisilta* (stonebridge)
Kivitalo	PROPN	overlaps more common *Kivitalo* (stonehouse)
Kivitasku	PROPN	overlaps more common *Kivitasku* (stonepocket)
Klanipää	PROPN	overlaps more common *Klanipää* (bald)
Klippi	PROPN	overlaps more common *Klippi* (clip)
Kloppi	PROPN	overlaps more common *Kloppi* (clop)
Knalli	PROPN	overlaps more common *Knalli* (hat)
Kohelo	PROPN	overlaps more common *Kohelo* (clumsy)
Kohina	PROPN	overlaps more common *Kohina* (noise)
Koho	PROPN	overlaps more common *Koho* (bob)
Kohosuo	PROPN	overlaps more common *Kohosuo* (bob swamp)
Kohta	PROPN	overlaps more common *Kohta* (place, spot, soon)
Kohtalo	PROPN	overlaps more common *Kohtalo* (destiny)
Koillinen	PROPN	overlaps more common *Koillinen* (northeast)
Koipi	PROPN	overlaps more common *Koipi* (leg)
Koira	PROPN	overlaps more common *Koira* (dog)
Koirankieli	PROPN	overlaps more common *Koirankieli* (dog’s tongue)
Koirankorva	PROPN	overlaps more common *Koirankorva* (dog’s ear)
Koiso	PROPN	overlaps more common *Koiso* (FIXME)
Koitto	PROPN	overlaps more common *Koitto* (dawn)
Koivikko	PROPN	overlaps more common *Koivikko* (birches)
Koivisto	PROPN	overlaps more common *Koivisto* (birches)
Koivu	PROPN	overlaps more common *Koivu* (birch)
Koivuinen	PROPN	overlaps more common *Koivuinen* (birchy)
Koivukuja	PROPN	overlaps more common *Koivukuja* (birchpath)
Koivumetsä	PROPN	overlaps more common *Koivumetsä* (birchforest)
Koivuniemi	PROPN	overlaps more common *Koivuniemi* (birch peninsula)
Koivunoksa	PROPN	overlaps more common *Koivunoksa* (birch branch)
Koje	PROPN	overlaps more common *Koje* (machine)
Kokkare	PROPN	overlaps more common *Kokkare* (clump)
Kokkari	PROPN	overlaps more common *Kokkari* (meeting)
Kokkarit	PROPN	overlaps more common *Kokkarit* (meeting)
Kokki	PROPN	overlaps more common *Kokki* (cook)
Kokko	PROPN	overlaps more common *Kokko* (bonfire)
Kokoomus	PROPN	overlaps more common *Kokoomus* (coalition)
Kola	PROPN	overlaps more common *Kola* (plow)
Kolari	PROPN	overlaps more common *Kolari* (crash)
Kolea	PROPN	overlaps more common *Kolea* (cold)
Kolhoosi	PROPN	overlaps more common *Kolhoosi* (golhoz)
Kolikko	PROPN	overlaps more common *Kolikko* (coin)
Kolkka	PROPN	overlaps more common *Kolkka* (edge)
Kolkko	PROPN	overlaps more common *Kolkko* (gloomy)
Kolli	PROPN	overlaps more common *Kolli* (bobcat)
Kolmihaarainen	PROPN	overlaps more common *Kolmihaarainen* (threeprong)
Kolmikko	PROPN	overlaps more common *Kolmikko* (triplet)
Kolminainen	PROPN	overlaps more common *Kolminainen* (threeway)
Kolmio	PROPN	overlaps more common *Kolmio* (triangle)
Kolmiodraama	PROPN	overlaps more common *Kolmiodraama* (triangle drama)
Kolmipäinen	PROPN	overlaps more common *Kolmipäinen* (three-head)
Kolmonen	PROPN	overlaps more common *Kolmonen* (three)
Kolo	PROPN	overlaps more common *Kolo* (hole)
Koloinen	PROPN	overlaps more common *Koloinen* (hole)
Komero	PROPN	overlaps more common *Komero* (closet)
Komori	PROPN	overlaps more common *Komori* (FIXME)
Kompleksi	PROPN	overlaps more common *Kompleksi* (complex)
Komppi	PROPN	overlaps more common *Komppi* (comp)
Komu	PROPN	overlaps more common *Komu* (FIXME)
Kone	PROPN	overlaps more common *Kone* (machine)
Konga	PROPN	overlaps more common *Konga* (conga)
Koni	PROPN	overlaps more common *Koni* (horse)
Konjakki	PROPN	overlaps more common *Konjakki* (cognac)
Konkari	PROPN	overlaps more common *Konkari* (pro)
Konkelo	PROPN	overlaps more common *Konkelo* (tree)
Konki	PROPN	overlaps more common *Konki* (FIXME)
Konkka	PROPN	overlaps more common *Konkka* (FIXME)
Konna	PROPN	overlaps more common *Konna* (crook)
Konnari	PROPN	overlaps more common *Konnari* (conductor)
Konsa	PROPN	overlaps more common *Konsa* (when)
Konsepti	PROPN	overlaps more common *Konsepti* (concept)
Konsti	PROPN	overlaps more common *Konsti* (trick)
Kontakti	PROPN	overlaps more common *Kontakti* (contact)
Kontio	PROPN	overlaps more common *Kontio* (bear)
Kontti	PROPN	overlaps more common *Kontti* (container)
Konttori	PROPN	overlaps more common *Konttori* (office)
Kontu	PROPN	overlaps more common *Kontu* (shire)
KOP	PROPN	Kansallis-Osake-Pankki
Kopina	PROPN	overlaps more common *Kopina* (clop)
Kopio	PROPN	overlaps more common *Kopio* (copy)
Kopla	PROPN	overlaps more common *Kopla* (gang)
Koppari	PROPN	overlaps more common *Koppari* (catcher)
Koppi	PROPN	overlaps more common *Koppi* (catch)
Kopula	PROPN	overlaps more common *Kopula* (copula)
Korintti	PROPN	overlaps more common *Korintti* (corinthean)
Koriseva	PROPN	overlaps more common *Koriseva* (gurgly)
Korkea	PROPN	overlaps more common *Korkea* (high)
Korkki	PROPN	overlaps more common *Korkki* (cork)
Korkkinen	PROPN	overlaps more common *Korkkinen* (FIXME)
Korko	PROPN	overlaps more common *Korko* (interest)
Kornetti	PROPN	overlaps more common *Kornetti* (cornet)
Korni	PROPN	overlaps more common *Korni* (korny)
Korpi	PROPN	overlaps more common *Korpi* (forest)
Korpimaa	PROPN	overlaps more common *Korpimaa* (wasteland)
Korpimetsä	PROPN	overlaps more common *Korpimetsä* (forest)
Korpiniitty	PROPN	overlaps more common *Korpiniitty* (greens)
Korpisuo	PROPN	overlaps more common *Korpisuo* (swamp)
Korpitaipale	PROPN	overlaps more common *Korpitaipale* (FIXME)
Korppi	PROPN	overlaps more common *Korppi* (raven)
Korpraali	PROPN	overlaps more common *Korpraali* (corporal)
Korsi	PROPN	overlaps more common *Korsi* (grassblade)
Korsika	PROPN	overlaps more common *Korsika* (corsica)
Korsu	PROPN	overlaps more common *Korsu* (bunker)
Kortisto	PROPN	overlaps more common *Kortisto* (dole)
